Data,Horario,Dia,Mês,Ano,Nome completo,Contexto do Evento,Total do curso (Real)
2022-05-08,22:23,Domingo,Maio,2022,Estudante001,Questionário: Atividades Online 06 e 07,0.0
2022-05-13,21:36,Sexta-feira,Maio,2022,Estudante002,Laboratório Virtual de Programação: Atividade Online 04 - Clínica Veterinária,8.0
2022-05-14,19:36,Sábado,Maio,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 03 - Classe Filme,10.0
2022-05-24,17:20,Terça-feira,Maio,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 01 - Quantidade de Carne no Churrasco,10.0
2022-05-24,17:20,Terça-feira,Maio,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 01 - Quantidade de Carne no Churrasco,10.0
2022-05-24,17:20,Terça-feira,Maio,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 01 - Quantidade de Carne no Churrasco,10.0
2022-05-24,17:20,Terça-feira,Maio,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 01 - Quantidade de Carne no Churrasco,10.0
2022-05-24,20:18,Terça-feira,Maio,2022,Estudante002,Laboratório Virtual de Programação: Atividade Online 01 - Quantidade de Carne no Churrasco,8.0
2022-05-25,09:40,Quarta-feira,Maio,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 02 - Classe Swapper,10.0
2022-05-25,09:40,Quarta-feira,Maio,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 02 - Classe Swapper,10.0
2022-05-25,09:41,Quarta-feira,Maio,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 03 - Classe Filme,10.0
2022-05-26,15:12,Quinta-feira,Maio,2022,Estudante003,Laboratório Virtual de Programação: Trabalho Prático 02 - Lista de Compromisso  (20.03.2022),10.0
2022-05-26,15:12,Quinta-feira,Maio,2022,Estudante003,Laboratório Virtual de Programação: Trabalho Prático 02 - Lista de Compromisso  (20.03.2022),10.0
2022-05-26,15:13,Quinta-feira,Maio,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 03 - Classe Filme,10.0
2022-05-26,15:13,Quinta-feira,Maio,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 03 - Classe Filme,10.0
2022-05-30,11:48,Segunda-feira,Maio,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 04 - Clínica Veterinária,10.0
2022-05-30,11:48,Segunda-feira,Maio,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 04 - Clínica Veterinária,10.0
2022-05-31,14:08,Terça-feira,Maio,2022,Estudante003,Laboratório Virtual de Programação: Trabalho Prático 02 - Lista de Compromisso  (20.03.2022),10.0
2022-05-31,14:09,Terça-feira,Maio,2022,Estudante003,Laboratório Virtual de Programação: Trabalho Prático 02 - Lista de Compromisso  (20.03.2022),10.0
2022-05-31,15:07,Terça-feira,Maio,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 04 - Clínica Veterinária,10.0
2022-05-31,15:08,Terça-feira,Maio,2022,Estudante003,Laboratório Virtual de Programação: Trabalho Prático 02 - Lista de Compromisso  (20.03.2022),10.0
2022-05-31,15:08,Terça-feira,Maio,2022,Estudante003,Laboratório Virtual de Programação: Trabalho Prático 02 - Lista de Compromisso  (20.03.2022),10.0
2022-06-01,19:50,Quarta-feira,Junho,2022,Estudante002,Arquivo: JAVA - Introdução - Slides,8.0
2022-06-03,21:29,Sexta-feira,Junho,2022,Estudante003,Laboratório Virtual de Programação: Trabalho Prático 02 - Lista de Compromisso  (20.03.2022),10.0
2022-06-05,15:58,Domingo,Junho,2022,Estudante004,Arquivo: Lista de exercícios resolvidos em Java,0.0
2022-06-05,17:36,Domingo,Junho,2022,Estudante004,Arquivo: Vetores - Slides,0.0
2022-06-05,17:44,Domingo,Junho,2022,Estudante004,Arquivo: JAVA - Comandos - Slides,0.0
2022-06-06,13:27,Segunda-feira,Junho,2022,Estudante002,Laboratório Virtual de Programação: Movimento do cavalo num tabuleiro de xadrez,8.0
2022-06-07,16:04,Terça-feira,Junho,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 02 - Classe Swapper,10.0
2022-06-07,16:04,Terça-feira,Junho,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 02 - Classe Swapper,10.0
2022-06-07,16:04,Terça-feira,Junho,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 02 - Classe Swapper,10.0
2022-06-07,16:05,Terça-feira,Junho,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 02 - Classe Swapper,10.0
2022-06-07,16:05,Terça-feira,Junho,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 02 - Classe Swapper,10.0
2022-06-07,19:42,Terça-feira,Junho,2022,Estudante001,Laboratório Virtual de Programação: Atividade Online 03 - Classe Filme,0.0
2022-06-07,19:42,Terça-feira,Junho,2022,Estudante001,Laboratório Virtual de Programação: Atividade Online 01 - Quantidade de Carne no Churrasco,0.0
2022-06-07,19:42,Terça-feira,Junho,2022,Estudante001,Laboratório Virtual de Programação: Atividade Online 01 - Quantidade de Carne no Churrasco,0.0
2022-06-07,19:42,Terça-feira,Junho,2022,Estudante001,Laboratório Virtual de Programação: Atividade Online 02 - Classe Swapper,0.0
2022-06-07,19:42,Terça-feira,Junho,2022,Estudante001,Laboratório Virtual de Programação: Atividade Online 02 - Classe Swapper,0.0
2022-06-08,11:30,Quarta-feira,Junho,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 02 - Classe Swapper,10.0
2022-06-08,11:30,Quarta-feira,Junho,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 02 - Classe Swapper,10.0
2022-06-08,11:31,Quarta-feira,Junho,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 02 - Classe Swapper,10.0
2022-06-08,15:18,Quarta-feira,Junho,2022,Estudante001,Arquivo: classes,0.0
2022-06-08,15:18,Quarta-feira,Junho,2022,Estudante001,Laboratório Virtual de Programação: Trabalho Prático 02 - Lista de Compromisso  (20.03.2022),0.0
2022-06-08,15:18,Quarta-feira,Junho,2022,Estudante001,Laboratório Virtual de Programação: Trabalho Prático 01 - Partida de Futebol ,0.0
2022-06-08,15:18,Quarta-feira,Junho,2022,Estudante001,Laboratório Virtual de Programação: Atividade Online 02 - Classe Swapper,0.0
2022-06-08,15:18,Quarta-feira,Junho,2022,Estudante001,Questionário: Atividades Online 06 e 07,0.0
2022-06-08,15:18,Quarta-feira,Junho,2022,Estudante001,Questionário: Atividade Online  5 (Data 28.02.2022),0.0
2022-06-08,15:19,Quarta-feira,Junho,2022,Estudante001,Fórum: Avisos,0.0
2022-06-08,15:19,Quarta-feira,Junho,2022,Estudante001,Fórum: Avisos,0.0
2022-06-08,15:19,Quarta-feira,Junho,2022,Estudante001,Fórum: Avisos,0.0
2022-06-08,15:19,Quarta-feira,Junho,2022,Estudante001,Fórum: Avisos,0.0
2022-06-08,15:20,Quarta-feira,Junho,2022,Estudante001,Fórum: Avisos,0.0
2022-06-08,15:21,Quarta-feira,Junho,2022,Estudante001,Laboratório Virtual de Programação: Impressão de números,0.0
2022-06-08,15:21,Quarta-feira,Junho,2022,Estudante001,Laboratório Virtual de Programação: Atividade Online 02 - Classe Swapper,0.0
2022-06-08,15:21,Quarta-feira,Junho,2022,Estudante001,Fórum: Avisos,0.0
2022-06-09,14:54,Quinta-feira,Junho,2022,Estudante002,Laboratório Virtual de Programação: Quantidade de Carne no Churrasco,8.0
2022-06-09,14:54,Quinta-feira,Junho,2022,Estudante002,Laboratório Virtual de Programação: Quantidade de Carne no Churrasco,8.0
2022-06-14,15:10,Terça-feira,Junho,2022,Estudante002,Arquivo: Plano de Ensino (Semestre 2021.02),8.0
2022-06-14,22:34,Terça-feira,Junho,2022,Estudante003,Arquivo: Avaliação 1 semestre 2018.02,10.0
2022-06-14,22:36,Terça-feira,Junho,2022,Estudante003,Arquivo: A1.2019.02-PC,10.0
2022-06-14,22:36,Terça-feira,Junho,2022,Estudante003,Arquivo: Avaliação 01 semestre 2018.01,10.0
2022-06-22,11:22,Quarta-feira,Junho,2022,Estudante005,Arquivo: Plano de Ensino (Semestre 2021.02),8.5
2022-06-23,21:32,Quinta-feira,Junho,2022,Estudante003,Laboratório Virtual de Programação: Trabalho Prático 02 - Lista de Compromisso  (20.03.2022),10.0
2022-06-23,21:33,Quinta-feira,Junho,2022,Estudante003,Laboratório Virtual de Programação: Trabalho Prático 02 - Lista de Compromisso  (20.03.2022),10.0
2022-06-24,13:16,Sexta-feira,Junho,2022,Estudante003,Laboratório Virtual de Programação: Trabalho Prático 02 - Lista de Compromisso  (20.03.2022),10.0
2022-06-30,14:36,Quinta-feira,Junho,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 04 - Clínica Veterinária,10.0
2022-06-30,14:36,Quinta-feira,Junho,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 04 - Clínica Veterinária,10.0
2022-06-30,14:37,Quinta-feira,Junho,2022,Estudante003,Laboratório Virtual de Programação: Atividade Online 04 - Clínica Veterinária,10.0
2022-06-30,20:37,Quinta-feira,Junho,2022,Estudante002,Laboratório Virtual de Programação: Atividade Online 04 - Clínica Veterinária,8.0
2022-06-30,20:37,Quinta-feira,Junho,2022,Estudante002,Laboratório Virtual de Programação: Atividade Online 04 - Clínica Veterinária,8.0
2022-06-30,20:41,Quinta-feira,Junho,2022,Estudante002,Laboratório Virtual de Programação: Atividade Online 04 - Clínica Veterinária,8.0
